date,nominal,value,vunitRate
1992-07-01,1,125.2600,125.26
1992-07-03,1,134.8000,134.8
1992-07-08,1,130.5000,130.5
1992-07-10,1,130.3000,130.3
1992-07-15,1,130.2000,130.2
1992-07-17,1,135.4000,135.4
1992-07-22,1,151.1000,151.1
1992-07-24,1,155.7000,155.7
1992-07-29,1,161.1000,161.1
1992-07-31,1,161.2000,161.2
1992-08-05,1,161.4000,161.4
1992-08-07,1,161.5000,161.5
1992-08-12,1,161.7000,161.7
1992-08-14,1,162.5000,162.5
1992-08-19,1,162.5000,162.5
1992-08-21,1,162.6000,162.6
1992-08-26,1,168.1000,168.1
1992-08-28,1,205.0000,205
1992-09-02,1,210.5000,210.5
1992-09-04,1,210.5000,210.5
1992-09-09,1,207.9000,207.9
1992-09-11,1,203.0000,203
1992-09-16,1,204.0000,204
1992-09-18,1,205.5000,205.5
1992-09-23,1,241.0000,241
1992-09-25,1,248.0000,248
1992-09-30,1,254.0000,254
1992-10-02,1,309.0000,309
1992-10-07,1,342.0000,342
1992-10-09,1,334.0000,334
1992-10-14,1,334.0000,334
1992-10-16,1,338.0000,338
1992-10-21,1,368.0000,368
1992-10-23,1,368.0000,368
1992-10-28,1,393.0000,393
1992-10-30,1,398.0000,398
1992-11-04,1,396.0000,396
1992-11-06,1,399.0000,399
1992-11-11,1,403.0000,403
1992-11-13,1,419.0000,419
1992-11-18,1,448.0000,448
1992-11-20,1,448.0000,448
1992-11-25,1,450.0000,450
1992-11-27,1,447.0000,447
1992-12-02,1,417.0000,417
1992-12-04,1,398.0000,398
1992-12-09,1,419.0000,419
1992-12-11,1,419.0000,419
1992-12-16,1,418.0000,418
1992-12-18,1,416.0000,416
1992-12-23,1,415.0000,415
1992-12-25,1,414.5000,414.5
1992-12-30,1,414.5000,414.5
1993-01-06,1,417.0000,417
1993-01-13,1,423.0000,423
1993-01-15,1,442.0000,442
1993-01-20,1,474.5000,474.5
1993-01-22,1,493.0000,493
1993-01-27,1,568.0000,568
1993-01-29,1,572.0000,572
1993-02-03,1,572.0000,572
1993-02-05,1,572.0000,572
1993-02-10,1,561.0000,561
1993-02-12,1,560.0000,560
1993-02-17,1,559.0000,559
1993-02-19,1,559.0000,559
1993-02-24,1,576.0000,576
1993-02-26,1,593.0000,593
1993-03-03,1,649.0000,649
1993-03-05,1,648.0000,648
1993-03-10,1,650.0000,650
1993-03-12,1,653.0000,653
1993-03-17,1,662.0000,662
1993-03-19,1,667.0000,667
1993-03-24,1,684.0000,684
1993-03-26,1,684.0000,684
1993-03-31,1,684.0000,684
1993-04-02,1,692.0000,692
1993-04-07,1,712.0000,712
1993-04-09,1,740.0000,740
1993-04-14,1,766.0000,766
1993-04-16,1,779.0000,779
1993-04-21,1,786.0000,786
1993-04-23,1,795.0000,795
1993-04-28,1,812.0000,812
1993-04-30,1,823.0000,823
