id,num_code,char_code,currency_name
R01010,036,AUD,Австралийский доллар
R01020A,944,AZN,Азербайджанский манат
R01035,826,GBP,Фунт стерлингов Соединенного королевства
R01060,051,AMD,Армянских драмов
R01090B,933,BYN,Белорусский рубль
R01100,975,BGN,Болгарский лев
R01115,986,BRL,Бразильский реал
R01135,348,HUF,Венгерских форинтов
R01150,704,VND,Вьетнамских донгов
R01200,344,HKD,Гонконгский доллар
R01210,981,GEL,Грузинский лари
R01215,208,DKK,Датская крона
R01230,784,AED,Дирхам ОАЭ
R01235,840,USD,Доллар США
R01239,978,EUR,Евро
R01240,818,EGP,Египетских фунтов
R01270,356,INR,Индийских рупий
R01280,360,IDR,Индонезийских рупий
R01335,398,KZT,Казахстанских тенге
R01350,124,CAD,Канадский доллар
R01355,634,QAR,Катарский риал
R01370,417,KGS,Киргизских сомов
R01375,156,CNY,Китайский юань
R01500,498,MDL,Молдавских леев
R01530,554,NZD,Новозеландский доллар
R01535,578,NOK,Норвежских крон
R01565,985,PLN,Польский злотый
R01585F,946,RON,Румынский лей
R01589,960,XDR,СДР (специальные права заимствования)
R01625,702,SGD,Сингапурский доллар
R01670,972,TJS,Таджикских сомони
R01675,764,THB,Таиландских батов
R01700J,949,TRY,Турецких лир
R01710A,934,TMT,Новый туркменский манат
R01717,860,UZS,Узбекских сумов
R01720,980,UAH,Украинских гривен
R01760,203,CZK,Чешских крон
R01770,752,SEK,Шведских крон
R01775,756,CHF,Швейцарский франк
R01805F,941,RSD,Сербских динаров
R01810,710,ZAR,Южноафриканских рэндов
R01815,410,KRW,Вон Республики Корея
R01820,392,JPY,Японских иен
